Gene,label,HIPred_haploinsufficiency,Effect_DBP_Median,Effect_PP_Median,Effect_SBP_Median,ExomiserScore_DecreasedBP_MultiHPOTerms,ExomiserScore_IncreasedBP_MultiHPOTerms,SDI_essentiality,SDI_Drug_Probability,humancellsensitivity,humancellspecificity,mousecellsensitivity,mousecellspecificity,panglao_ubiquitousness_index,gene_damage_index_score,GDI_Phred,huge_htn_bioindex,pLI_exac,RVIS_genic_intolerance,AdiposeSubcutaneous_GTExTPM,AdiposeVisceralOmentum_GTExTPM,AdrenalGland_GTExTPM,ArteryAorta_GTExTPM,ArteryCoronary_GTExTPM,ArteryTibial_GTExTPM,Bladder_GTExTPM,BrainAmygdala_GTExTPM,BrainAnteriorcingulatecortexBA24_GTExTPM,BrainCaudatebasalganglia_GTExTPM,BrainCerebellarHemisphere_GTExTPM,BrainCerebellum_GTExTPM,BrainCortex_GTExTPM,BrainFrontalCortexBA9_GTExTPM,BrainHippocampus_GTExTPM,BrainHypothalamus_GTExTPM,BrainNucleusaccumbensbasalganglia_GTExTPM,BrainPutamenbasalganglia_GTExTPM,BrainSpinalcordcervicalc1_GTExTPM,BrainSubstantianigra_GTExTPM,BreastMammaryTissue_GTExTPM,CellsCulturedfibroblasts_GTExTPM,CellsEBVtransformedlymphocytes_GTExTPM,CervixEctocervix_GTExTPM,CervixEndocervix_GTExTPM,ColonSigmoid_GTExTPM,ColonTransverse_GTExTPM,EsophagusGastroesophagealJunction_GTExTPM,EsophagusMucosa_GTExTPM,EsophagusMuscularis_GTExTPM,FallopianTube_GTExTPM,HeartAtrialAppendage_GTExTPM,HeartLeftVentricle_GTExTPM,KidneyCortex_GTExTPM,KidneyMedulla_GTExTPM,Liver_GTExTPM,Lung_GTExTPM,MinorSalivaryGland_GTExTPM,MuscleSkeletal_GTExTPM,NerveTibial_GTExTPM,Ovary_GTExTPM,Pancreas_GTExTPM,Pituitary_GTExTPM,Prostate_GTExTPM,SkinNotSunExposedSuprapubic_GTExTPM,SkinSunExposedLowerleg_GTExTPM,SmallIntestineTerminalIleum_GTExTPM,Spleen_GTExTPM,Stomach_GTExTPM,Testis_GTExTPM,Thyroid_GTExTPM,Uterus_GTExTPM,Vagina_GTExTPM,WholeBlood_GTExTPM
GGNBP1,least likely,,-0.0012,-0.0447,-0.056,0.0,0.0,1.9994798,0.071954774,0.0331754,0.0,0.871951,0.00077816,0.008,24.37073,0.80177,,,,0.0,0.0,0.0175397,0.0,0.0,0.0,0.0208886,0.13688,0.488818,0.0378653,0.0234461,0.0239395,0.261691,0.265195,0.0923271,0.0491161,0.055593,0.0333127,0.0,0.0197646,0.0,0.0,0.378641,0.0,0.0,0.0,0.0280647,0.0,0.0,0.0,0.0,0.0,0.0,0.0201991,0.0223356,0.0,0.0371854,0.0191879,0.0,0.0304944,0.0337953,0.0,0.0569535,0.0,0.0,0.0,0.0928122,0.167554,0.0,6.04134,0.111385,0.0,0.0,0.0193832
BIRC8,least likely,0.111908376,0.00585,0.0163,0.01175,0.500116999,0.500029731,1.86907763,0.069192978,,,,,,170.60625,2.84901,1.0,6.54e-07,1.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.1258,0.0,0.0,0.0,0.0
OR10J3,least likely,0.123297259,-0.002,0.0096,-0.0007,0.500000131,0.500000007,0.0,0.051636578,,,,,,992.93356,6.07198,,0.001039428,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.113672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF286B,least likely,0.186891869,-0.0011,-0.0152,-0.0058,0.0,0.0,0.0,0.053038083,,,,,,6652.48026,17.27843,,0.003746029,,0.656277,0.636744,0.478589,1.01997,0.931812,0.77666,1.09867,0.51983,0.628191,0.558668,4.2524,3.35655,0.718256,0.859574,0.573735,0.809637,0.608185,0.46727,0.706788,0.541342,0.799087,0.93444,0.589235,2.17767,1.98535,1.04959,0.623413,1.01103,0.46868,0.940578,1.28137,0.324916,0.145201,0.36113,0.904861,0.134173,0.768656,0.601913,0.190387,1.38905,2.09448,0.2291,1.07495,1.2298,0.838232,0.79012,0.822063,0.823156,0.344589,0.911304,0.972584,2.06976,1.32249,0.076501
COLCA1,least likely,0.179693475,-0.0002,-0.01015,-0.00985,,,1.84815186,0.070124777,,,,,,40.69872,1.19247,,0.02661554,,0.722561,0.448911,0.348803,1.0208,0.968874,0.842139,5.9539,0.562034,0.727643,1.16984,0.221832,0.289524,0.753223,0.729581,0.658146,0.606947,1.15265,0.855186,0.317533,0.364072,1.26518,0.0330336,0.50074,1.59272,1.46252,2.76527,2.46195,1.15174,2.69537,1.26957,10.8175,0.118124,0.141394,2.49057,7.07442,0.338163,3.86573,12.1229,0.188529,3.18451,3.17367,1.35544,0.475412,27.7594,0.260329,0.285237,2.32154,0.557303,22.6152,2.30677,4.4804,3.78389,3.63112,0.0192248
CLLU1,least likely,0.146139458,0.0165,0.0209,0.0428,,,0.0,0.053355798,,,,,,328.75219,3.85475,,0.041368284,,0.0,0.0,0.0,0.0,0.0181146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00529325,0.0,0.264654,0.0,0.0,0.0,0.0,0.0,0.0331275,0.0,0.0,0.0121861,0.0,0.0,0.0430401,0.0,0.0,0.0568787,0.0169773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00939994,0.0231202,0.0,0.0119005,0.0195251,0.0,0.0278678,0.0
OFCC1,least likely,,0.001,-0.00115,-0.0009,0.0,0.0,,,,,,,,2022.19175,8.27431,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.113909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00901221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00970121,0.0107325,0.0,0.0,0.0,0.814621,0.0,0.0,0.0,0.0
UBBP4,least likely,0.18980889,-0.0169,-0.00415,-0.02,,,,,,,,,,3342.56634,11.07485,,0.061068295,,1.88015,2.01532,2.84593,2.7036,2.51466,2.83089,2.14855,2.26779,2.31082,1.87636,2.07533,2.02435,2.47557,2.93571,2.13898,3.21972,2.23215,1.62845,8.92305,3.17149,1.88607,2.06883,2.85659,2.2534,1.90916,2.36928,1.96274,2.21072,1.20858,2.09139,1.95166,1.55833,1.15326,1.91798,1.45881,2.09571,2.66202,1.7844,2.11387,1.35517,1.99616,0.984458,3.5156,2.19076,1.54756,1.41122,1.90705,2.32975,2.13501,105.313,2.76906,2.1991,1.84151,3.5196
PRR21,least likely,0.237914741,-0.0014,-0.0033,-0.0029,,,,,,,,,,2739.14281,9.86619,,0.003652752,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0634489,0.0,0.0,0.0,0.0
C9orf163,least likely,0.153042644,-0.0358,0.0126,0.0327,,,,,,,,,,,,,0.055046603,0.15,0.101583,0.0886608,0.358823,0.271373,0.296291,0.183119,0.288352,0.355936,0.516107,0.711835,1.82157,1.89566,0.822196,0.724631,0.492394,0.567324,0.85636,0.444958,0.265642,0.219628,0.186637,0.185427,0.288181,0.225029,0.230332,0.280527,0.390871,0.410518,0.574811,0.438933,0.656346,0.0537294,0.0592585,0.575339,0.953132,0.51919,0.500787,0.797908,0.132313,0.223607,0.240463,0.364084,3.76257,0.781653,0.277962,0.357025,0.601668,0.596798,0.564188,5.93235,2.33573,0.331416,0.285414,0.0546352
