Gene,label_encoded,BrainSpinalcordcervicalc1_GTExTPM,KidneyMedulla_GTExTPM,HeartLeftVentricle_GTExTPM,FallopianTube_GTExTPM,Liver_GTExTPM,EsophagusMucosa_GTExTPM,CellsEBVtransformedlymphocytes_GTExTPM,CellsCulturedfibroblasts_GTExTPM,MuscleSkeletal_GTExTPM,Testis_GTExTPM,Spleen_GTExTPM,Pituitary_GTExTPM,WholeBlood_GTExTPM,AdrenalGland_GTExTPM,GDI_Phred,Effect_SBP_Median,Effect_PP_Median,Effect_DBP_Median,HIPred_haploinsufficiency,pLI_exac,SDI_Drug_Probability,ExomiserScore_IncreasedBP_MultiHPOTerms,ExomiserScore_DecreasedBP_MultiHPOTerms,RVIS_genic_intolerance
GGNBP1,2.0,0.0,0.0223356,0.0,0.0,0.0,0.0,0.378641,0.0,0.0,6.04134,0.167554,0.0569535,0.0193832,0.0175397,0.80177,-0.056,-0.0447,-0.0012,0.26428095921428585,0.11889101308697782,0.071954774,0.0,0.0,0.09271428571428571
BIRC8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.1258,0.0,0.0,0.0,0.0,2.84901,0.01175,0.0163,0.00585,0.111908376,6.54e-07,0.069192978,0.500029731,0.500116999,1.86
OR10J3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.113672,0.0,0.0,0.0,0.0,0.0,0.0,6.07198,-0.0007,0.0096,-0.002,0.123297259,0.001039428,0.051636578,0.500000007,0.500000131,0.31
ZNF286B,2.0,0.706788,0.904861,0.145201,1.28137,0.134173,0.46868,0.589235,0.93444,0.190387,0.911304,0.823156,1.07495,0.076501,0.478589,17.27843,-0.0058,-0.0152,-0.0011,0.186891869,0.003746029,0.053038083,0.0,0.0,0.6665714285714285
COLCA1,2.0,0.317533,7.07442,0.141394,10.8175,0.338163,2.69537,0.50074,0.0330336,0.188529,2.30677,0.557303,0.475412,0.0192248,0.348803,1.19247,-0.00985,-0.01015,-0.0002,0.179693475,0.02661554,0.070124777,0.5037741268961905,0.507742598257143,0.11942857142857144
CLLU1,2.0,0.0,0.0430401,0.0,0.0,0.0,0.0331275,0.264654,0.0,0.0169773,0.0119005,0.0231202,0.0,0.0,0.0,3.85475,0.0428,0.0209,0.0165,0.146139458,0.041368284,0.053355798,0.505027312657143,0.5152234769285717,0.42071428571428576
OFCC1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.113909,0.0,0.0,0.814621,0.0,0.0,0.0,0.0,8.27431,-0.0009,-0.00115,0.001,0.17751041625714295,0.045806174188037105,0.07888248544285716,0.0,0.0,0.7651428571428568
UBBP4,2.0,8.92305,1.45881,1.15326,1.95166,2.09571,1.20858,2.85659,2.06883,2.11387,105.313,2.32975,3.5156,3.5196,2.84593,11.07485,-0.02,-0.00415,-0.0169,0.18980889,0.061068295,0.10990634345714291,0.5038016893999999,0.5094032195000001,0.16785714285714276
PRR21,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0634489,0.0,0.0,0.0,0.0,9.86619,-0.0029,-0.0033,-0.0014,0.237914741,0.003652752,0.07886472044285715,0.5046365900714287,0.5113743186571429,0.5840000000000002
C9orf163,2.0,0.265642,0.953132,0.0592585,0.656346,0.51919,0.574811,0.288181,0.185427,0.132313,5.93235,0.596798,3.76257,0.0546352,0.358823,5.711080428571427,0.0327,0.0126,-0.0358,0.153042644,0.055046603,0.10972966648571433,0.5025107772523809,0.5071718620999999,0.15
KIR3DX1,2.0,0.1231,0.0146914,0.00807139,0.0436244,0.0314596,0.00791488,0.978169,0.0,0.0103261,0.371277,0.603065,0.0218519,0.88981,0.0715515,3.19122,-0.0069,-0.003,-0.00195,0.24733456491428585,0.06640149949861712,0.09249230474285712,0.5048631861714288,0.5160495465000002,-0.18400000000000002
TMEM78,2.0,0.0223093,0.0251949,0.0,0.0,0.0,0.0,0.0,0.0,0.0192901,0.130451,0.0,0.0,0.0,0.0,6.68075,0.0016,0.0003,-0.0086,0.21936186884285727,0.0392697410237383,0.0899480738142857,0.5041828829114287,0.5102594661142859,0.36485714285714294
FAM182B,2.0,1.04978,0.270178,0.126044,1.38335,0.0563413,0.484774,0.0912101,0.110042,0.124129,11.3845,0.22025,2.63536,0.0321604,0.299508,0.85119,0.0871,0.02575,0.0495,0.33194790861428575,0.1352797556844286,0.10984630761428575,0.5031842640428573,0.5150784639142858,-0.2792857142857142
LOH12CR2,2.0,8.52736,2.75394,0.965988,3.12986,0.661395,0.538088,0.673345,1.5539,0.623049,1.77758,1.08924,4.59853,0.359423,1.92351,3.72508,0.10925,0.06805,0.046,0.19787774848571435,0.08962014227699193,0.1096773490714286,0.5062937607809522,0.5219062610714285,-0.009428571428571437
PAXIP1-AS2,2.0,1.4836,2.31304,0.751052,6.80789,1.77775,1.8298,5.85594,4.80882,0.804918,3.20924,4.57562,5.45897,0.691576,3.6798,0.46207,0.0006849999999999957,0.0004985714285714372,0.0004214285714285657,0.146139458,0.09168088,0.1098255971285715,0.5041920140000001,0.5109652299571427,-0.08542857142857145
RP11-176H8.1,2.0,3.73676,1.954,1.08471,4.22246,0.937063,2.10794,1.85989,1.6977,2.59195,6.02111,1.96694,4.15237,0.157624,1.52735,0.56301,0.0055800000000000086,-0.0005885714285714258,0.031148571428571442,0.111908376,0.172135497,0.10523885870000002,0.511035322957143,0.5129082927857143,-0.038714285714285715
RP11-113D6.10,2.0,0.0,0.00561218,0.0,0.0,0.0182137,0.0,0.0160106,0.0,0.0,16.8851,0.0,0.0,0.0,0.0,8.08594,0.003533571428571427,0.0024971428571428406,0.000357142857142883,0.138881207,0.34890553,0.07811683878571432,0.5038823389142857,0.5119868133285717,0.9812857142857137
PTCHD3,2.0,0.0,0.0,0.0,0.0958237,0.0,0.040461,0.0,0.0,0.0,3.8955,0.161329,0.0,0.0,0.0,15.99359,-0.0031,-0.0001,0.001,0.123297259,6.38e-11,0.070722998,0.0,0.0,3.16
BRI3BP,2.0,13.1499,5.72383,1.39313,3.40762,4.37406,12.6571,49.4382,8.01932,0.871298,4.26135,8.82672,5.83737,2.23634,2.87851,0.78365,-0.0005,-0.0009,0.00415,0.42872709,0.125132505,0.080466105,0.0,0.0,-0.36
SACM1L,2.0,20.1971,18.5736,6.78633,28.7388,10.4166,18.457,25.9219,31.5161,6.84177,17.804,29.2248,31.6323,8.862,24.0012,0.94154,-0.0123,-0.0037,-0.0053,0.693781972,0.721901743,0.112123056,0.500007495,0.500518989,-0.42
LDHB,2.0,383.889,786.406,873.758,364.696,11.9977,140.54,1127.89,738.488,128.27,143.991,194.832,186.419,74.2765,409.089,1.52454,0.01865,0.0086,0.0046,0.561718941,2.03e-05,0.120383642,0.50414018,0.520848798,-0.25
METTL13,2.0,8.96755,12.7995,6.62912,20.4469,7.08001,14.7212,34.5619,34.8662,11.0235,32.1318,19.6314,10.8081,5.24399,19.354,11.02115,0.0079,-0.0102,0.0137,0.49568212,0.00133198,0.11195514062857145,0.0,0.0,-0.66
PRNT,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.6821,0.0,0.0,0.0,0.0,0.25941,-0.00045,0.0023499999999999,-0.00475,0.179693475,0.105498859,0.052540639,0.5035531202857142,0.5091649601714284,0.6218571428571429
FMO6P,2.0,0.0,0.0142925,0.0186218,0.123427,0.029309,0.0419607,0.0,0.246611,0.027583,0.0477606,0.0,0.0882329,0.0,0.0420816,4.88346,-0.00445,0.0007,-0.00255,0.170125708,0.376800998,0.0899083048285714,0.0,0.0,0.20057142857142868
MDS2,2.0,0.045306,0.276583,0.00875534,0.0948098,0.0339932,0.0328367,0.452416,0.0,0.0169622,0.493323,0.943516,0.129829,0.328155,0.0374725,10.49529,0.017,0.0161,0.0042,0.179693475,0.042965573,0.053038083,0.5061541525285715,0.5126447794428574,0.28357142857142853
TMEM105,2.0,0.0672839,0.0340725,0.0,0.0556298,1.43849,0.464685,0.0144868,0.0110185,0.16265,0.300096,0.27837,0.0583301,0.0326174,0.274119,3.20049,0.0012,0.0034,0.0001,0.123297259,0.011619609,0.052631346,0.5045020677,0.5133154198857145,0.73
GABARAPL3,2.0,0.0208279,0.0367341,0.0183604,0.0,0.016121,0.0,0.0,0.0,0.036596,0.840847,0.0,0.0978896,0.0,0.0267056,4.50403,-0.0032,0.0001,-0.0033,0.171224996,0.019405965,0.092183797,0.5034339216714285,0.5062478841142857,0.04928571428571427
EIF2S3L,2.0,0.121887,0.113477,0.0778795,0.318078,0.0799235,0.228861,0.844305,0.538222,0.165994,2.64307,0.182784,0.14607,0.151374,0.203026,8.90959,-0.0036499999999999,-0.01165,0.0034,0.375431418,0.147907105,0.1095985321428572,0.5033333921628573,0.5062380215000001,0.10299999999999995
