,label_encoded
label_encoded,1.0
NerveTibial_GTExTPM,0.028302500525194483
Effect_HF_Median,0.019496442572889922
CellsEBVtransformedlymphocytes_GTExTPM,0.010844210073323503
HeartLeftVentricle_GTExTPM,-0.002870416169040161
gene_damage_index_score,-0.01587425731976603
Pancreas_GTExTPM,-0.021307694693464205
GDI_Phred,-0.021665548468032314
Testis_GTExTPM,-0.024810277912920883
Stomach_GTExTPM,-0.046504795109186696
KidneyMedulla_GTExTPM,-0.04894636237349737
MuscleSkeletal_GTExTPM,-0.05768143272826339
AdrenalGland_GTExTPM,-0.07990618528454647
KidneyCortex_GTExTPM,-0.08288053749400202
WholeBlood_GTExTPM,-0.08379084139673797
CellsCulturedfibroblasts_GTExTPM,-0.08478241833211833
BrainFrontalCortexBA9_GTExTPM,-0.0850325468635145
BrainSpinalcordcervicalc1_GTExTPM,-0.0959145922616188
BrainCortex_GTExTPM,-0.09687151686590058
HeartAtrialAppendage_GTExTPM,-0.09896453349583922
BrainHypothalamus_GTExTPM,-0.0991548011236671
ColonSigmoid_GTExTPM,-0.1011768112920532
BrainAnteriorcingulatecortexBA24_GTExTPM,-0.10235805116070906
BrainCerebellarHemisphere_GTExTPM,-0.10421873002661562
Pituitary_GTExTPM,-0.10550050557196036
ColonTransverse_GTExTPM,-0.10690749335538444
BrainSubstantianigra_GTExTPM,-0.10748470706648476
Bladder_GTExTPM,-0.1075218425037976
BrainNucleusaccumbensbasalganglia_GTExTPM,-0.10973035065395097
BrainHippocampus_GTExTPM,-0.11027629691060968
Thyroid_GTExTPM,-0.11572420314641577
BrainAmygdala_GTExTPM,-0.11617239565622386
BrainCerebellum_GTExTPM,-0.11641724543600812
BrainCaudatebasalganglia_GTExTPM,-0.11649593395785506
Prostate_GTExTPM,-0.1167347660966207
EsophagusMuscularis_GTExTPM,-0.11676285001208858
BrainPutamenbasalganglia_GTExTPM,-0.11711071193732586
EsophagusGastroesophagealJunction_GTExTPM,-0.11772571893014795
Ovary_GTExTPM,-0.11806890405798065
H3k4me1_count,-0.12047310497002686
MinorSalivaryGland_GTExTPM,-0.12132712073049957
SmallIntestineTerminalIleum_GTExTPM,-0.1221834497897446
Spleen_GTExTPM,-0.1240005952596566
AdiposeVisceralOmentum_GTExTPM,-0.12800852499012563
FallopianTube_GTExTPM,-0.13031916528990822
Uterus_GTExTPM,-0.13211069910282222
BreastMammaryTissue_GTExTPM,-0.1330307900509213
pLI_exac,-0.13452903641553
Liver_GTExTPM,-0.13512268014564874
AdiposeSubcutaneous_GTExTPM,-0.13554198847668658
ArteryTibial_GTExTPM,-0.13863302666331273
EsophagusMucosa_GTExTPM,-0.13888715694679693
CervixEndocervix_GTExTPM,-0.14396730598828306
Lung_GTExTPM,-0.14621955439662082
ArteryCoronary_GTExTPM,-0.15312379323315753
CervixEctocervix_GTExTPM,-0.1577348450555168
ArteryAorta_GTExTPM,-0.16489198850948142
Vagina_GTExTPM,-0.17033733087475955
SkinNotSunExposedSuprapubic_GTExTPM,-0.183032861806326
SkinSunExposedLowerleg_GTExTPM,-0.18624892280171565
SDI_Drug_Probability,-0.2807807962930055
SDI_essentiality,-0.2830050427709437
HIPred_haploinsufficiency,-0.41633236928444245
ExomiserScore_increasedBP,-0.6768827479035828
