,label_encoded,BrainSpinalcordcervicalc1_GTExTPM,KidneyMedulla_GTExTPM,KidneyCortex_GTExTPM,HeartLeftVentricle_GTExTPM,HeartAtrialAppendage_GTExTPM,FallopianTube_GTExTPM,EsophagusMuscularis_GTExTPM,Liver_GTExTPM,EsophagusMucosa_GTExTPM,ColonTransverse_GTExTPM,ColonSigmoid_GTExTPM,CervixEndocervix_GTExTPM,CervixEctocervix_GTExTPM,CellsEBVtransformedlymphocytes_GTExTPM,CellsCulturedfibroblasts_GTExTPM,EsophagusGastroesophagealJunction_GTExTPM,BreastMammaryTissue_GTExTPM,Lung_GTExTPM,MuscleSkeletal_GTExTPM,Vagina_GTExTPM,Uterus_GTExTPM,Thyroid_GTExTPM,Testis_GTExTPM,Stomach_GTExTPM,Spleen_GTExTPM,MinorSalivaryGland_GTExTPM,SmallIntestineTerminalIleum_GTExTPM,SkinNotSunExposedSuprapubic_GTExTPM,Prostate_GTExTPM,Pituitary_GTExTPM,Pancreas_GTExTPM,Ovary_GTExTPM,NerveTibial_GTExTPM,SkinSunExposedLowerleg_GTExTPM,BrainSubstantianigra_GTExTPM,BrainPutamenbasalganglia_GTExTPM,WholeBlood_GTExTPM,AdiposeVisceralOmentum_GTExTPM,AdrenalGland_GTExTPM,ArteryAorta_GTExTPM,ArteryCoronary_GTExTPM,ArteryTibial_GTExTPM,Bladder_GTExTPM,BrainAmygdala_GTExTPM,BrainAnteriorcingulatecortexBA24_GTExTPM,AdiposeSubcutaneous_GTExTPM,BrainCerebellarHemisphere_GTExTPM,BrainCerebellum_GTExTPM,BrainCortex_GTExTPM,BrainFrontalCortexBA9_GTExTPM,BrainHippocampus_GTExTPM,BrainHypothalamus_GTExTPM,BrainNucleusaccumbensbasalganglia_GTExTPM,BrainCaudatebasalganglia_GTExTPM,GDI_Phred,gene_damage_index_score,Effect_SBP_Median,Effect_PP_Median,Effect_DBP_Median,HIPred_haploinsufficiency,pLI_exac,SDI_Drug_Probability,ExomiserScore_IncreasedBP_MultiHPOTerms,ExomiserScore_DecreasedBP_MultiHPOTerms,SDI_essentiality,RVIS_genic_intolerance
label_encoded,1.0,-0.11203259456614614,-0.02167051068153317,-0.07356344013333845,-0.0012790055802478263,-0.10702758104278196,-0.13581277126568536,-0.14203814830370573,-0.1464220930717687,-0.18628199137814563,-0.12899339917728966,-0.12384654294161511,-0.1635435998509674,-0.18325658380438636,0.047884317409676906,-0.10742827911081797,-0.1385775017353678,-0.16593167625860172,-0.1732482408625736,-0.11615783728393782,-0.19793988289555028,-0.16424029013339353,-0.16083687223154272,-0.08804655417181231,-0.054875683998299125,-0.1713355692070839,-0.14992321574739467,-0.15249833673956517,-0.20174064344813483,-0.15971330691164004,-0.13996872178169084,-0.044093488365407225,-0.11241261240708758,-0.14450145139710274,-0.203969617198286,-0.10496701050908733,-0.11539630337547922,-0.12972667662314447,-0.15036951710353955,-0.12171116886435329,-0.17416021152551614,-0.1749046079362666,-0.13841711316114136,-0.12099624625288737,-0.11890546057607244,-0.10599524161331074,-0.1575344758522463,-0.10984568723255571,-0.12515678817732395,-0.10354087456170588,-0.08808530720440094,-0.12201838825333487,-0.10101295769373908,-0.11021739208637191,-0.11835162430776718,0.03452443584619851,0.1080606604696786,0.06176840331977978,0.011915546873976545,0.02107282668718984,-0.40677939898788296,-0.1423573420459094,-0.25572464991840904,-0.14215999716680963,-0.2525127477502382,-0.26282883261197076,0.2834231761093585
BrainSpinalcordcervicalc1_GTExTPM,-0.11203259456614614,1.0,0.6796058975390159,0.9117549510553989,0.5893266458265987,0.001992768391700766,0.5317083704175408,0.5611564624303097,0.7592398922794857,0.32437928554981277,0.6775232613832909,0.6092370436574024,0.5962013186342286,0.6491746574704791,0.5448664935340751,0.4826790164854049,0.5498506626082662,0.6147999441151181,0.5153764381221363,0.3753457583108644,0.44747016367909487,0.5319809430319778,0.517928664628893,0.6577599303237385,0.649620120735805,0.8395853365056998,0.4869405219570486,0.6441265394417678,0.39988855682084445,0.464455973470687,0.5504631869466922,0.5031396746200346,0.7226303860132006,0.47172743217555696,0.35894294206352645,0.9042940807815283,0.8884507011914627,0.28148371911372955,0.5172808582893265,0.8321302760274959,0.3782837996953189,0.5314507959583462,0.3833735844936982,0.5794945533182639,0.9125174798159317,0.9455002509649759,0.633482718535567,0.8106469536929755,0.861510902452616,0.940353925150627,0.9182607125284874,0.960619444893469,0.9505947381673485,0.891771343488558,0.8921872133137487,-0.0483910723883571,-0.03950679851218303,0.017936229876300648,-0.01781650814718152,-0.08040559577505636,0.06065659441042486,-0.043432213890988246,0.3140302824287986,0.05397929948863797,0.03537641017509898,0.24214192545664703,-0.07586671732382694
KidneyMedulla_GTExTPM,-0.02167051068153317,0.6796058975390159,1.0,0.8537567088559503,0.8256030616310982,0.006821017314393632,0.6701670626526705,0.751004503800292,0.17650151129866198,0.4818179383872879,0.850462807826265,0.761903955592732,0.652439403611431,0.6427766178440406,0.8271258137711381,0.6912555667786319,0.7469453740285205,0.6346687544331094,0.598897624831473,0.4665201303446962,0.5462991924783985,0.7125019391463274,0.7257606662814717,0.5614077930445457,0.9124723627493432,0.5255079088485728,0.7282452771505579,0.7975987253443769,0.3940281168481481,0.6316876857122377,0.659682504616009,0.7960011493345507,0.6514354357921354,0.6106126802547538,0.373200996350908,0.3805044553142882,0.3610675693984115,0.3944554584621044,0.5896658757701525,0.2657325657321138,0.48782905379906,0.6032450560269856,0.5234830499323185,0.7493821860079188,0.4012980682348168,0.5826607664638421,0.6328431559295503,0.7186434323817438,0.6425866640662152,0.686754681070624,0.7417068152640129,0.5446844401476472,0.5204661299669158,0.38262890524534804,0.3757053223753441,-0.10064255545796075,-0.060856971056112874,0.007239526169803727,-0.007571856149517937,-0.04253853688876938,0.08377017993083098,-0.00591121901333621,0.12424027150787248,0.017469311855580417,0.02823576833337578,0.09764786976417995,-0.06967034955300927
KidneyCortex_GTExTPM,-0.07356344013333845,0.9117549510553989,0.8537567088559503,1.0,0.6626942357522215,0.004502357642435222,0.562070598843417,0.5837991901045,0.612869784372932,0.37710335152223445,0.7512725937769232,0.6232008504300127,0.5892895214970207,0.6294928019770588,0.6446606481962597,0.5659859127942296,0.5810298336080627,0.6250832557136953,0.5470928004349452,0.35563850188481727,0.46603262250766375,0.5793834950835759,0.6319780656472659,0.5850122226470582,0.7352249701737116,0.7696053132063597,0.5865287018219846,0.7427294599499668,0.40028287226059006,0.49843649512519145,0.5639224551428157,0.6244447029989346,0.6974676739413657,0.4929434897690689,0.3667964751029147,0.7837813053795536,0.7662405117671736,0.29754271833065765,0.5377433452459394,0.706474479074866,0.3919829138903595,0.5383079392527897,0.40236911277754045,0.6155956278146751,0.783978322303616,0.8567728933905934,0.63705215496289,0.821147656997096,0.8250284547193565,0.8820226154290687,0.8951114396674046,0.8532068426157572,0.8512760164528279,0.7805472818925837,0.7722016055920844,-0.057228802564823565,-0.04154635364190749,0.033087131935377906,0.020518874192174463,-0.060205137244354855,0.04889719688647664,-0.04750954214435673,0.2817628275605469,0.013527561037436669,0.02306306016276932,0.217802060289504,-0.07588312756123261
HeartLeftVentricle_GTExTPM,-0.0012790055802478263,0.5893266458265987,0.8256030616310982,0.6626942357522215,1.0,0.047908774904635916,0.484274184388537,0.7179276531459241,0.05451410821360996,0.33809964460090935,0.6589464006713222,0.7265499905457563,0.5380089562276914,0.48060745295238944,0.8562661008766871,0.646970788554082,0.6720267921157458,0.4106690947870216,0.3400245925313797,0.5847415393600365,0.34756508920575047,0.5727475589580617,0.4218507005536641,0.4865929070278956,0.8431094045148161,0.3340270177615383,0.39551416054888855,0.5002487313134948,0.2016619527670862,0.4329138181243132,0.4394088732085039,0.5988837385764859,0.4563109013759334,0.402308620307246,0.2035654120709413,0.30165502694684937,0.2809701579688133,0.19971816027486167,0.39093365724039586,0.14552665535085613,0.290822027452984,0.40550079218211826,0.3407149046902809,0.6093992565067481,0.34224898158664796,0.5577108076655548,0.4339788218195127,0.5479830234836945,0.5050679673419745,0.6469741644897606,0.6815387718765313,0.4901931165651342,0.4614477840599223,0.2970344748134275,0.2975996700681867,-0.09163820522222213,-0.05283192616146207,0.026427798447649305,0.0076019743049141365,-0.02257333714291724,0.012914813759531012,-0.06501276739250508,0.009827500023728872,0.05451597093375555,0.03358101836181317,0.005953282832086753,-0.02358230128177764
HeartAtrialAppendage_GTExTPM,-0.10702758104278196,0.001992768391700766,0.006821017314393632,0.004502357642435222,0.047908774904635916,1.0,0.000654004270124483,0.003345199009847742,-0.003912758268034805,-0.005004037604928648,-0.0022117513263845206,0.0023741532595674695,-0.00615309968195764,-0.0033503258606969732,0.006858552305399583,-0.0027895083267210127,0.003703178496338783,0.001676605717855317,0.0019797409531470533,-0.0005093879213901106,-0.00012410073346688568,-0.0020964003798834585,-0.0001844682378847994,0.007684913248943218,0.004926419237620743,-0.0017504940394389437,-0.0026493529275747724,-0.0051833763874048954,-0.001085769436972911,0.003128655468682689,0.0024037884401483123,0.00022187494640261483,0.0019543344883450474,0.0017733731710850434,-0.002595131521421619,0.0006112343178353907,-0.0012398320517922696,0.0029789945668134148,0.0037358157816482097,-0.0019862525244748633,0.0018226222319426841,0.0030304071452035325,0.003828098060859921,0.002747777242010138,0.0007832812543148788,0.0035696059342149077,0.0028696105034685146,-0.004411310326155257,-0.004624120196224386,0.004680889126373811,0.0034899931565208274,0.001251682859257785,0.0009639525417464096,-0.0011579981185912203,-0.0014146107519282239,0.0362656945921665,0.009229616131654163,-0.4216795818708863,-0.26360243470260514,-0.4281421689300942,-0.06373045585147878,-0.050849211191205494,-0.0011405638665304093,0.06885549728032013,0.09011230963045988,0.013750888637047069,0.08775119930089342
FallopianTube_GTExTPM,-0.13581277126568536,0.5317083704175408,0.6701670626526705,0.562070598843417,0.484274184388537,0.000654004270124483,1.0,0.872501452518294,0.19113636971909517,0.6154407564408106,0.8215474155401213,0.8814670700276321,0.8069206169293176,0.9125041261918987,0.4391800970194208,0.5849187676942702,0.9301910966849604,0.9612824476356556,0.9448607431756011,0.5326343565585194,0.89732015871696,0.9214164283465814,0.8103356429022702,0.5413520919346398,0.8121830601241095,0.6850433367409299,0.8317688603923651,0.6502774158078486,0.718561576793404,0.9648183602689243,0.9225842342403344,0.6638667587232991,0.8969595269299722,0.9689861789930363,0.63387353146358,0.23856327875899555,0.2208760618379533,0.8332833279981576,0.9519145177171942,0.20857372914050962,0.9070664366727437,0.9514709967092186,0.9360929278578527,0.9739357712337343,0.25142849469437006,0.3393656196968242,0.9474115114746119,0.38877441758880193,0.39084009992647883,0.40867480712035575,0.3973386235573356,0.35927291225782415,0.3282161601570222,0.22465464937358373,0.23012635096396555,-0.08441675920835694,-0.06287679793299308,-0.05695845480390767,-0.05372292558113148,-0.09738720568926024,0.1574861568213442,-0.0019310337834866278,0.05211544888203124,0.033094184699922646,0.0919013637210546,0.03206724073300954,-0.10745108668750433
EsophagusMuscularis_GTExTPM,-0.14203814830370573,0.5611564624303097,0.751004503800292,0.5837991901045,0.7179276531459241,0.003345199009847742,0.872501452518294,1.0,0.08665547866375192,0.5679372896949803,0.8394098131385779,0.9408270339028773,0.8424162566422471,0.8795417294394179,0.6057230148438177,0.6848229468555097,0.9868191938879064,0.8154108276646339,0.7822019183644581,0.6409687081558626,0.7966193440146261,0.8755015044755007,0.7333364816429047,0.5911800946194443,0.8837416025814884,0.5536653737668884,0.749687933139338,0.6490768170541015,0.6007542995246582,0.8554365649552637,0.8247379702454084,0.6704502560989234,0.763355392775354,0.8382880424599083,0.5412418463742401,0.23366297632628744,0.21616717412688521,0.6500032790370007,0.8128899734613525,0.1658397773166515,0.7799768002094462,0.8276371823593692,0.7862328126619478,0.9343514424083635,0.28192040949008645,0.44397437586531135,0.8086907665610096,0.44968293090941197,0.43505214684569354,0.5201592277769433,0.5290029370117273,0.41067574768585136,0.36541955185710134,0.23167430693221727,0.23785156223779358,-0.11568686089317651,-0.08030681884175953,0.042964661354308625,0.029812735064566245,-0.04084400164598159,0.1489714098197524,-0.027352633808375718,0.13533939632047626,0.05575619354673699,0.0892810034883204,0.09846606148686456,-0.09302542938828161
Liver_GTExTPM,-0.1464220930717687,0.7592398922794857,0.17650151129866198,0.612869784372932,0.05451410821360996,-0.003912758268034805,0.19113636971909517,0.08665547866375192,1.0,0.08315509498227587,0.2549660036223039,0.1483207777859679,0.21932557362320013,0.3282460894419359,-0.0009581392831668119,0.05407750087589714,0.09957438412628299,0.3541983429677279,0.2748571432149188,0.06640200377838362,0.18925223163424057,0.13663354025642638,0.22839923936288337,0.34431535661182483,0.11881767050512805,0.7234229528930027,0.1706630944441941,0.3301254547267825,0.2668136404517619,0.14149887427030208,0.22847251829085127,0.08247834141232456,0.4415544061133152,0.16505892085393437,0.2260242586703525,0.9065588923015353,0.9104378907501288,0.10392488515035457,0.2585613902672338,0.9118745557916814,0.15327718674304167,0.2704112578409049,0.12921321356411294,0.16242926897891408,0.8935184507432752,0.7680139254539396,0.37209025599458434,0.5747877218882905,0.6716995117660168,0.6885567520782843,0.6238543157194781,0.8333885250736817,0.835138973487169,0.889013751177685,0.8998679682304482,0.04345708016649627,0.008398746314696889,0.043866070932461414,0.002634165604923274,-0.03175884058596098,-0.030166506310639697,-0.061039308656080205,0.325706496623045,0.09380967291231,0.055702528710720615,0.2451953323337446,-0.028538423352561102
EsophagusMucosa_GTExTPM,-0.18628199137814563,0.32437928554981277,0.4818179383872879,0.37710335152223445,0.33809964460090935,-0.005004037604928648,0.6154407564408106,0.5679372896949803,0.08315509498227587,1.0,0.6468037815954484,0.5595612696524238,0.5459245299575083,0.5959521557286355,0.31664806796928785,0.43479958388990503,0.5856860232941212,0.6055632532554568,0.5884388156108842,0.4138300207336144,0.8296282087716765,0.598065943913846,0.6054497663093887,0.3966772653470632,0.5922204687904443,0.40540330382643436,0.7250894047645764,0.5619486175013301,0.8820226248204648,0.6422909067388823,0.6044589600147062,0.6151261381585789,0.5586908873231085,0.6053506743832561,0.9294889423882963,0.11735365327536706,0.10940452424495371,0.49190595066442133,0.5682684109705596,0.11034959003928839,0.545045336861212,0.5789411839346414,0.5545297317784547,0.6183314613017962,0.1341774578991836,0.1996186563516681,0.5597713038529367,0.2832348824704196,0.25490038554491334,0.2496448642439274,0.26273625524328836,0.20949158788972214,0.17847202221939285,0.11802177045377042,0.11915867629305117,0.018301573951656498,0.01778599241682492,-0.04968058354078045,0.012709978014631557,-0.10141403012108237,0.16265389385428622,0.07295756241500853,0.14775153884839187,0.03161984898475057,0.04051357466677149,0.13413582297738494,-0.16610762651676125
