Gene,ExomiserScore_increasedBP,BrainPutamenbasalganglia_GTExTPM,KidneyMedulla_GTExTPM,HeartLeftVentricle_GTExTPM,CellsEBVtransformedlymphocytes_GTExTPM,CellsCulturedfibroblasts_GTExTPM,Liver_GTExTPM,WholeBlood_GTExTPM,Testis_GTExTPM,AdrenalGland_GTExTPM,Effect_HF_Median,gene_damage_index_score,HIPred_haploinsufficiency,pLI_exac,SDI_Drug_Probability,H3k4me1_count
AGRN,0.513092499,18.4247,74.2338,6.77292,57.0294,31.5855,13.1002,0.575363,31.6947,4.78231,0.0440742910633429,1338.6014,0.636561334,0.17335234,0.229515236,52.0
NOC2L,0.500499419,21.2427,44.9638,23.8439,94.2063,95.0196,27.0626,14.9889,98.6656,37.1737,-0.0082418711020024,783.46189,0.519413292,1.33e-19,0.111352389,10.0
B3GALT6,0.540060755,9.18509,13.4718,6.40932,11.9547,29.9052,8.79121,4.41826,13.4474,12.7458,0.0434465814471427,720.15343,0.42872709,0.048104466,0.131067764,40.0
C1orf159,0.0,5.97916,7.86911,1.88039,7.61776,6.37987,4.0789,2.62856,41.1168,5.07871,0.022993609125422,1180.1165511428571,0.146139458,0.090877636,0.053038083,132.0
ISG15,0.509088865,31.5576,44.3451,13.6514,611.473,40.3973,28.9351,28.8048,11.6118,13.4514,-0.0038237653405526,1374.86701,0.460647643,0.009847813,0.080913515,23.0
KLHL17,0.500004446,4.021,12.6445,2.81872,15.4147,16.0841,5.68244,3.5812,30.7975,7.89155,-0.0043604701578469,1984.8710590000007,0.352169782,2.52e-07,0.138971662,166.81428571428572
PLEKHN1,0.0,0.126737,2.13025,0.181741,1.89402,1.87062,0.425511,0.496924,1.37933,1.92579,-0.0189988416410945,1152.6566738571428,0.146139458,2.02e-08,0.052631346,182.32857142857142
SAMD11,0.0,1.39336,16.4519,0.453113,0.0845438,1.62797,1.63191,0.046089,6.86414,3.78499,-0.0188322182953358,1844.4284735714284,0.263579309,1.35e-10,0.052540639,164.47142857142856
OR4F5,0.500000187,0.0984991,0.0258349,0.0976225,0.0309826,0.0,0.060538,0.0,0.0391763,0.057972,-0.006167982125436419,890.9484865714292,0.186891869,0.176329298,0.053355798,53.357142857142854
HES4,0.50152006,28.4102,20.6751,17.2779,8.01004,1.22793,3.213,1.20548,10.0034,2.91384,-0.0149979555738872,639.9223217142859,0.285495073,0.000147943,0.052631346,193.35714285714286
